Date,Value,week,year,month,day
9/11/16,621.65,7,2016,9,11
9/12/16,609.67,1,2016,9,12
9/13/16,610.92,2,2016,9,13
9/14/16,608.82,3,2016,9,14
9/15/16,610.38,4,2016,9,15
9/16/16,609.11,5,2016,9,16
9/17/16,607.04,6,2016,9,17
9/18/16,611.58,7,2016,9,18
9/19/16,610.19,1,2016,9,19
9/20/16,608.66,2,2016,9,20
9/21/16,598.88,3,2016,9,21
9/22/16,597.42,4,2016,9,22
9/23/16,594.08,5,2016,9,23
9/24/16,603.88,6,2016,9,24
9/25/16,601.74,7,2016,9,25
9/26/16,598.98,1,2016,9,26
9/27/16,605.96,2,2016,9,27
9/28/16,605.67,3,2016,9,28
9/29/16,603.85,4,2016,9,29
9/30/16,609.39,5,2016,9,30
10/1/16,614.82,6,2016,10,1
10/2/16,612.98,7,2016,10,2
10/3/16,611.85,1,2016,10,3
10/4/16,609.62,2,2016,10,4
10/5/16,607.18,3,2016,10,5
10/6/16,612.08,4,2016,10,6
10/7/16,617.21,5,2016,10,7
10/8/16,614.74,6,2016,10,8
10/9/16,615.65,7,2016,10,9
10/10/16,617.54,1,2016,10,10
10/11/16,614.77,2,2016,10,11
10/12/16,635.01,3,2016,10,12
10/13/16,635.96,4,2016,10,13
10/14/16,634.02,5,2016,10,14
10/15/16,637.94,6,2016,10,15
10/16/16,641.42,7,2016,10,16
10/17/16,638.97,1,2016,10,17
10/18/16,636.29,2,2016,10,18
10/19/16,629.25,3,2016,10,19
10/20/16,627.72,4,2016,10,20
10/21/16,631.92,5,2016,10,21
10/22/16,655.48,6,2016,10,22
10/23/16,653.25,7,2016,10,23
10/24/16,651.39,1,2016,10,24
10/25/16,655.31,2,2016,10,25
10/26/16,651.45,3,2016,10,26
10/27/16,682.22,4,2016,10,27
10/28/16,687.68,5,2016,10,28
10/29/16,685.91,6,2016,10,29
10/30/16,698.0,7,2016,10,30
10/31/16,702.0,1,2016,10,31
11/1/16,697.01,2,2016,11,1
11/2/16,733.33,3,2016,11,2
11/3/16,686.17,4,2016,11,3
11/4/16,683.69,5,2016,11,4
11/5/16,704.79,6,2016,11,5
11/6/16,712.0,7,2016,11,6
11/7/16,709.96,1,2016,11,7
11/8/16,708.97,2,2016,11,8
11/9/16,720.93,3,2016,11,9
11/10/16,721.5,4,2016,11,10
11/11/16,715.45,5,2016,11,11
11/12/16,703.71,6,2016,11,12
11/13/16,702.28,7,2016,11,13
11/14/16,706.46,1,2016,11,14
11/15/16,710.91,2,2016,11,15
11/16/16,711.73,3,2016,11,16
11/17/16,736.96,4,2016,11,17
11/18/16,747.52,5,2016,11,18
11/19/16,748.98,6,2016,11,19
11/20/16,729.06,7,2016,11,20
11/21/16,738.53,1,2016,11,21
11/22/16,736.97,2,2016,11,22
11/23/16,741.63,3,2016,11,23
11/24/16,737.45,4,2016,11,24
11/25/16,735.64,5,2016,11,25
11/26/16,733.67,6,2016,11,26
11/27/16,727.96,7,2016,11,27
11/28/16,727.31,1,2016,11,28
11/29/16,732.71,2,2016,11,29
11/30/16,742.69,3,2016,11,30
12/1/16,742.05,4,2016,12,1
12/2/16,772.43,5,2016,12,2
12/3/16,764.33,6,2016,12,3
12/4/16,762.97,7,2016,12,4
12/5/16,754.63,1,2016,12,5
12/6/16,756.62,2,2016,12,6
12/7/16,758.99,3,2016,12,7
12/8/16,769.72,4,2016,12,8
12/9/16,770.02,5,2016,12,9
12/10/16,769.08,6,2016,12,10
12/11/16,777.0,7,2016,12,11
12/12/16,777.0,1,2016,12,12
12/13/16,777.99,2,2016,12,13
12/14/16,774.89,3,2016,12,14
12/15/16,776.75,4,2016,12,15
12/16/16,775.88,5,2016,12,16
12/17/16,788.7,6,2016,12,17
12/18/16,788.4,7,2016,12,18
12/19/16,788.67,1,2016,12,19
12/20/16,793.09,2,2016,12,20
12/21/16,824.21,3,2016,12,21
12/22/16,834.97,4,2016,12,22
12/23/16,901.31,5,2016,12,23
12/24/16,891.61,6,2016,12,24
12/25/16,892.6,7,2016,12,25
12/26/16,897.33,1,2016,12,26
12/27/16,930.37,2,2016,12,27
12/28/16,930.34,3,2016,12,28
12/29/16,963.38,4,2016,12,29
12/30/16,952.15,5,2016,12,30
12/31/16,958.12,6,2016,12,31
1/1/17,997.72,7,2017,1,1
1/2/17,1015.97,1,2017,1,2
1/3/17,1013.42,2,2017,1,3
1/4/17,1126.76,3,2017,1,4
1/5/17,994.67,4,2017,1,5
1/6/17,999.65,5,2017,1,6
1/7/17,896.83,6,2017,1,7
1/8/17,908.14,7,2017,1,8
1/9/17,910.49,1,2017,1,9
1/10/17,906.05,2,2017,1,10
1/11/17,785.22,3,2017,1,11
1/12/17,780.92,4,2017,1,12
1/13/17,826.29,5,2017,1,13
1/14/17,817.91,6,2017,1,14
1/15/17,819.55,7,2017,1,15
1/16/17,830.5,1,2017,1,16
1/17/17,903.84,2,2017,1,17
1/18/17,906.6,3,2017,1,18
1/19/17,895.798875,4,2017,1,19
1/20/17,893.6210875,5,2017,1,20
1/21/17,895.64,6,2017,1,21
1/22/17,918.603625,7,2017,1,22
1/23/17,922.0736125,1,2017,1,23
1/24/17,919.97,2,2017,1,24
1/25/17,893.045625,3,2017,1,25
1/26/17,915.95625,4,2017,1,26
1/27/17,915.05,5,2017,1,27
1/28/17,920.31225,6,2017,1,28
1/29/17,915.933,7,2017,1,29
1/30/17,912.19,1,2017,1,30
1/31/17,964.706075,2,2017,1,31
2/1/17,979.703875,3,2017,2,1
2/2/17,983.42,4,2017,2,2
2/3/17,1013.027,5,2017,2,3
2/4/17,1030.999413,6,2017,2,4
2/5/17,1034.07,7,2017,2,5
2/6/17,1024.01375,1,2017,2,6
2/7/17,1050.11,2,2017,2,7
2/8/17,1052.84,3,2017,2,8
2/9/17,976.103,4,2017,2,9
2/10/17,999.1035,5,2017,2,10
2/11/17,997.59,6,2017,2,11
2/12/17,1000.604625,7,2017,2,12
2/13/17,999.877375,1,2017,2,13
2/14/17,1001.2,2,2017,2,14
2/15/17,1012.325988,3,2017,2,15
2/16/17,1035.208125,4,2017,2,16
2/17/17,1035.2,5,2017,2,17
2/18/17,1056.637138,6,2017,2,18
2/19/17,1052.779286,7,2017,2,19
2/20/17,1050.87,1,2017,2,20
2/21/17,1123.788429,2,2017,2,21
2/22/17,1123.223188,3,2017,2,22
2/23/17,1130.01,4,2017,2,23
2/24/17,1174.86625,5,2017,2,24
2/25/17,1150.605714,6,2017,2,25
2/26/17,1150.37,7,2017,2,26
2/27/17,1190.75195,1,2017,2,27
2/28/17,1187.565286,2,2017,2,28
3/1/17,1190.89,3,2017,3,1
3/2/17,1259.410817,4,2017,3,2
3/3/17,1285.14,5,2017,3,3
3/4/17,1287.0,6,2017,3,4
3/5/17,1270.9333,7,2017,3,5
3/6/17,1275.197375,1,2017,3,6
3/7/17,1279.5,2,2017,3,7
3/8/17,1157.3933,3,2017,3,8
3/9/17,1192.469143,4,2017,3,9
3/10/17,1192.09,5,2017,3,10
3/11/17,1179.159875,6,2017,3,11
3/12/17,1227.494625,7,2017,3,12
3/13/17,1227.68,1,2017,3,13
3/14/17,1245.370786,2,2017,3,14
3/15/17,1257.399625,3,2017,3,15
3/16/17,1257.0,4,2017,3,16
3/17/17,1091.171888,5,2017,3,17
3/18/17,952.2323625,6,2017,3,18
3/19/17,967.69,7,2017,3,19
3/20/17,1049.084488,1,2017,3,20
3/21/17,1118.630043,2,2017,3,21
3/22/17,1113.0,3,2017,3,22
3/23/17,1038.789,4,2017,3,23
3/24/17,941.9197143,5,2017,3,24
3/25/17,927.93,6,2017,3,25
3/26/17,956.7863125,7,2017,3,26
3/27/17,1037.22925,1,2017,3,27
3/28/17,1041.04,2,2017,3,28
3/29/17,1040.5755,3,2017,3,29
3/30/17,1037.90455,4,2017,3,30
3/31/17,1034.74,5,2017,3,31
4/1/17,1086.929571,6,2017,4,1
4/2/17,1099.169125,7,2017,4,2
4/3/17,1079.99,1,2017,4,3
4/4/17,1141.600363,2,2017,4,4
4/5/17,1133.079314,3,2017,4,5
4/6/17,1133.53,4,2017,4,6
4/7/17,1190.45425,5,2017,4,7
4/8/17,1181.149838,6,2017,4,8
4/9/17,1184.03,7,2017,4,9
4/10/17,1207.744875,1,2017,4,10
4/11/17,1226.617038,2,2017,4,11
4/12/17,1219.09,3,2017,4,12
4/13/17,1180.023713,4,2017,4,13
4/14/17,1185.260057,5,2017,4,14
4/15/17,1170.36,6,2017,4,15
4/16/17,1186.927413,7,2017,4,16
4/17/17,1205.634875,1,2017,4,17
4/18/17,1176.97,2,2017,4,18
4/19/17,1217.930088,3,2017,4,19
4/20/17,1241.686325,4,2017,4,20
4/21/17,1236.63,5,2017,4,21
4/22/17,1261.311225,6,2017,4,22
4/23/17,1257.988113,7,2017,4,23
4/24/17,1240.84,1,2017,4,24
4/25/17,1279.414688,2,2017,4,25
4/26/17,1309.109875,3,2017,4,26
4/27/17,1288.02,4,2017,4,27
4/28/17,1331.294429,5,2017,4,28
4/29/17,1334.979038,6,2017,4,29
4/30/17,1333.0,7,2017,4,30
5/1/17,1417.172813,1,2017,5,1
5/2/17,1452.076288,2,2017,5,2
5/3/17,1447.55,3,2017,5,3
5/4/17,1508.292125,4,2017,5,4
5/5/17,1533.335071,5,2017,5,5
5/6/17,1518.75,6,2017,5,6
5/7/17,1535.868429,7,2017,5,7
5/8/17,1640.619225,1,2017,5,8
5/9/17,1651.1,2,2017,5,9
5/10/17,1762.88625,3,2017,5,10
5/11/17,1820.990563,4,2017,5,11
5/12/17,1829.0,5,2017,5,12
5/13/17,1771.920013,6,2017,5,13
5/14/17,1776.3165,7,2017,5,14
5/15/17,1780.0,1,2017,5,15
5/16/17,1739.031975,2,2017,5,16
5/17/17,1807.485063,3,2017,5,17
5/18/17,1783.98,4,2017,5,18
5/19/17,1961.520488,5,2017,5,19
5/20/17,2052.909788,6,2017,5,20
5/21/17,2008.84,7,2017,5,21
5/22/17,2090.662313,1,2017,5,22
5/23/17,2287.710288,2,2017,5,23
5/24/17,2256.32,3,2017,5,24
5/25/17,2387.206286,4,2017,5,25
5/26/17,2211.976857,5,2017,5,26
5/27/17,2279.82,6,2017,5,27
5/28/17,2192.9808,7,2017,5,28
5/29/17,2275.9307,1,2017,5,29
5/30/17,2290.02,2,2017,5,30
5/31/17,2285.933914,3,2017,5,31
6/1/17,2399.242671,4,2017,6,1
6/2/17,2409.93,5,2017,6,2
6/3/17,2525.765158,6,2017,6,3
6/4/17,2516.173143,7,2017,6,4
6/5/17,2529.53,1,2017,6,5
6/6/17,2883.313697,2,2017,6,6
6/7/17,2664.920863,3,2017,6,7
6/8/17,2683.03,4,2017,6,8
6/9/17,2827.4913,5,2017,6,9
6/10/17,2845.372857,6,2017,6,10
6/11/17,2898.63,7,2017,6,11
6/12/17,2657.675063,1,2017,6,12
6/13/17,2748.185086,2,2017,6,13
6/14/17,2706.0,3,2017,6,14
6/15/17,2442.48025,4,2017,6,15
6/16/17,2464.959814,5,2017,6,16
6/17/17,2477.94,6,2017,6,17
6/18/17,2507.389252,7,2017,6,18
6/19/17,2617.210263,1,2017,6,19
6/20/17,2600.0,2,2017,6,20
6/21/17,2671.04325,3,2017,6,21
6/22/17,2727.288013,4,2017,6,22
6/23/17,2713.48,5,2017,6,23
6/24/17,2589.164888,6,2017,6,24
6/25/17,2512.366286,7,2017,6,25
6/26/17,2502.03,1,2017,6,26
6/27/17,2517.903114,2,2017,6,27
6/28/17,2585.349186,3,2017,6,28
6/29/17,2558.3,4,2017,6,29
6/30/17,2477.641375,5,2017,6,30
7/1/17,2501.191343,6,2017,7,1
7/2/17,2421.26,7,2017,7,2
7/3/17,2561.225429,1,2017,7,3
7/4/17,2599.729838,2,2017,7,4
7/5/17,2598.89,3,2017,7,5
7/6/17,2609.96775,4,2017,7,6
7/7/17,2491.201214,5,2017,7,7
7/8/17,2502.86,6,2017,7,8
7/9/17,2536.238938,7,2017,7,9
7/10/17,2366.170143,1,2017,7,10
7/11/17,2327.09,2,2017,7,11
7/12/17,2385.748571,3,2017,7,12
7/13/17,2354.783417,4,2017,7,13
7/14/17,2338.49,5,2017,7,14
7/15/17,2058.9956,6,2017,7,15
7/16/17,1931.2143,7,2017,7,16
7/17/17,1910.96,1,2017,7,17
7/18/17,2320.12225,2,2017,7,18
7/19/17,2264.7657,3,2017,7,19
7/20/17,2265.21,4,2017,7,20
7/21/17,2682.195363,5,2017,7,21
7/22/17,2807.609857,6,2017,7,22
7/23/17,2825.51,7,2017,7,23
7/24/17,2751.821029,1,2017,7,24
7/25/17,2560.997917,2,2017,7,25
7/26/17,2564.3,3,2017,7,26
7/27/17,2647.625,4,2017,7,27
7/28/17,2781.636583,5,2017,7,28
7/29/17,2784.8,6,2017,7,29
7/30/17,2745.955417,7,2017,7,30
7/31/17,2866.431667,1,2017,7,31
8/1/17,2862.9,2,2017,8,1
8/2/17,2693.633983,3,2017,8,2
8/3/17,2794.117717,4,2017,8,3
8/4/17,2790.0,5,2017,8,4
8/5/17,3218.115017,6,2017,8,5
8/6/17,3252.562533,7,2017,8,6
8/7/17,3210.2,1,2017,8,7
8/8/17,3457.374333,2,2017,8,8
8/9/17,3357.326317,3,2017,8,9
8/10/17,3340.28,4,2017,8,10
8/11/17,3632.506667,5,2017,8,11
8/12/17,3852.802914,6,2017,8,12
8/13/17,3868.52,7,2017,8,13
8/14/17,4282.992,1,2017,8,14
8/15/17,4217.028329,2,2017,8,15
8/16/17,4179.97,3,2017,8,16
8/17/17,4328.725717,4,2017,8,17
8/18/17,4130.440067,5,2017,8,18
8/19/17,4104.71,6,2017,8,19
8/20/17,4157.958033,7,2017,8,20
8/21/17,4043.722,1,2017,8,21
8/22/17,3986.28,2,2017,8,22
8/23/17,4174.95,3,2017,8,23
8/24/17,4340.316717,4,2017,8,24
8/25/17,4331.77,5,2017,8,25
8/26/17,4360.513317,6,2017,8,26
8/27/17,4354.308333,7,2017,8,27
8/28/17,4339.05,1,2017,8,28
8/29/17,4607.98545,2,2017,8,29
8/30/17,4594.98785,3,2017,8,30
8/31/17,4582.52,4,2017,8,31
9/1/17,4911.740017,5,2017,9,1
9/2/17,4580.38748,6,2017,9,2
9/3/17,4585.57,7,2017,9,3
9/4/17,4344.098317,1,2017,9,4
9/5/17,4488.72014,2,2017,9,5
9/6/17,4385.02,3,2017,9,6
9/7/17,4654.6585,4,2017,9,7
9/8/17,4310.750183,5,2017,9,8
9/9/17,4312.26,6,2017,9,9
9/10/17,4329.955,7,2017,9,10
9/11/17,4248.090017,1,2017,9,11
9/12/17,4198.59,2,2017,9,12
9/13/17,3961.271267,3,2017,9,13
9/14/17,3319.63,4,2017,9,14
9/15/17,3216.43,5,2017,9,15
9/16/17,3763.62604,6,2017,9,16
9/17/17,3746.060783,7,2017,9,17
9/18/17,3678.53,1,2017,9,18
9/19/17,3943.413333,2,2017,9,19
9/20/17,3977.561667,3,2017,9,20
9/21/17,3894.48,4,2017,9,21
9/22/17,3637.50255,5,2017,9,22
9/23/17,3776.3869,6,2017,9,23
9/24/17,3777.62,7,2017,9,24
9/25/17,3942.555,1,2017,9,25
9/26/17,3910.307383,2,2017,9,26
9/27/17,3881.0,3,2017,9,27
9/28/17,4201.98905,4,2017,9,28
9/29/17,4193.574667,5,2017,9,29
9/30/17,4164.27,6,2017,9,30
10/1/17,4360.722967,7,2017,10,1
10/2/17,4386.88375,1,2017,10,2
10/3/17,4394.07,2,2017,10,3
10/4/17,4225.175,3,2017,10,4
10/5/17,4338.852,4,2017,10,5
10/6/17,4318.58,5,2017,10,6
10/7/17,4376.191667,6,2017,10,7
10/8/17,4602.280883,7,2017,10,8
10/9/17,4605.66,1,2017,10,9
10/10/17,4782.28,2,2017,10,10
10/11/17,4819.485767,3,2017,10,11
10/12/17,4822.17,4,2017,10,12
10/13/17,5563.806567,5,2017,10,13
10/14/17,5739.438733,6,2017,10,14
10/15/17,5825.99,7,2017,10,15
10/16/17,5711.205867,1,2017,10,16
10/17/17,5603.71294,2,2017,10,17
10/18/17,5594.66,3,2017,10,18
10/19/17,5727.6335,4,2017,10,19
10/20/17,5979.45984,5,2017,10,20
10/21/17,5986.44,6,2017,10,21
10/22/17,5983.18455,7,2017,10,22
10/23/17,5876.079867,1,2017,10,23
10/24/17,5900.59,2,2017,10,24
10/25/17,5669.622533,3,2017,10,25
10/26/17,5893.138417,4,2017,10,26
10/27/17,5889.82,5,2017,10,27
10/28/17,5776.69695,6,2017,10,28
10/29/17,6155.43402,7,2017,10,29
10/30/17,6136.49,1,2017,10,30
10/31/17,6388.645167,2,2017,10,31
11/1/17,6665.306683,3,2017,11,1
11/2/17,6751.98,4,2017,11,2
11/3/17,7197.72006,5,2017,11,3
11/4/17,7437.543317,6,2017,11,4
11/5/17,7365.99,7,2017,11,5
11/6/17,6989.071667,1,2017,11,6
11/7/17,7092.127233,2,2017,11,7
11/8/17,7128.64,3,2017,11,8
11/9/17,7158.03706,4,2017,11,9
11/10/17,6719.39785,5,2017,11,10
11/11/17,6569.22,6,2017,11,11
11/12/17,5716.301583,7,2017,11,12
11/13/17,6550.227533,1,2017,11,13
11/14/17,6493.63,2,2017,11,14
11/15/17,7301.42992,3,2017,11,15
11/16/17,7815.0307,4,2017,11,16
11/17/17,7868.77,5,2017,11,17
11/18/17,7817.140383,6,2017,11,18
11/19/17,8007.654067,7,2017,11,19
11/20/17,8049.72,1,2017,11,20
11/21/17,8059.8,2,2017,11,21
11/22/17,8268.035,3,2017,11,22
11/23/17,8236.72,4,2017,11,23
11/24/17,8250.978333,5,2017,11,24
11/25/17,8707.407267,6,2017,11,25
11/26/17,8768.8,7,2017,11,26
11/27/17,9718.29505,1,2017,11,27
11/28/17,9952.50882,2,2017,11,28
11/29/17,9919.0,3,2017,11,29
11/30/17,10147.372,4,2017,11,30
12/1/17,10883.912,5,2017,12,1
12/2/17,10879.88,6,2017,12,2
12/3/17,11332.622,7,2017,12,3
12/4/17,11584.83,1,2017,12,4
12/5/17,11591.22,2,2017,12,5
12/6/17,13540.98,3,2017,12,6
12/7/17,16501.97167,4,2017,12,7
12/8/17,16860.88,5,2017,12,8
12/9/17,15142.83415,6,2017,12,9
12/10/17,14869.805,7,2017,12,10
12/11/17,15068.95,1,2017,12,11
12/12/17,17276.39333,2,2017,12,12
12/13/17,16808.36667,3,2017,12,13
12/14/17,16252.31,4,2017,12,14
12/15/17,17771.9,5,2017,12,15
12/16/17,19498.68333,6,2017,12,16
12/17/17,19279.9,7,2017,12,17
12/18/17,18961.85667,1,2017,12,18
12/19/17,17737.11167,2,2017,12,19
12/20/17,17382.94,3,2017,12,20
12/21/17,16047.51,4,2017,12,21
12/22/17,15190.945,5,2017,12,22
12/23/17,13776.61,6,2017,12,23
12/24/17,13949.175,7,2017,12,24
12/25/17,14119.02833,1,2017,12,25
12/26/17,13740.94,2,2017,12,26
12/27/17,15589.32167,3,2017,12,27
12/28/17,14380.58167,4,2017,12,28
12/29/17,14214.01,5,2017,12,29
12/30/17,13215.574,6,2017,12,30
12/31/17,14165.575,7,2017,12,31
1/1/18,13796.0,1,2018,1,1
1/2/18,15005.85667,2,2018,1,2
1/3/18,15053.26167,3,2018,1,3
1/4/18,15039.24,4,2018,1,4
1/5/18,17174.12,5,2018,1,5
1/6/18,17319.198,6,2018,1,6
1/7/18,17155.95,7,2018,1,7
1/8/18,15265.90667,1,2018,1,8
1/9/18,14714.25333,2,2018,1,9
1/10/18,14437.42,3,2018,1,10
1/11/18,13296.794,4,2018,1,11
1/12/18,13912.882,5,2018,1,12
1/13/18,13791.19,6,2018,1,13
1/14/18,13852.92,7,2018,1,14
1/15/18,14012.196,1,2018,1,15
1/16/18,13554.14,2,2018,1,16
1/17/18,11116.94667,3,2018,1,17
1/18/18,11345.42333,4,2018,1,18
1/19/18,11174.82,5,2018,1,19
1/20/18,12950.79333,6,2018,1,20
1/21/18,11505.228,7,2018,1,21
1/22/18,11513.42,1,2018,1,22
1/23/18,11223.064,2,2018,1,23
1/24/18,11282.25833,3,2018,1,24
1/25/18,11392.03,4,2018,1,25
1/26/18,10969.815,5,2018,1,26
1/27/18,11524.77667,6,2018,1,27
1/28/18,11431.37,7,2018,1,28
1/29/18,11212.655,1,2018,1,29
1/30/18,10184.06167,2,2018,1,30
1/31/18,10082.52,3,2018,1,31
2/1/18,9083.258333,4,2018,2,1
2/2/18,8901.901667,5,2018,2,2
2/3/18,8852.73,6,2018,2,3
2/4/18,8400.648333,7,2018,2,4
2/5/18,6838.816667,1,2018,2,5
2/6/18,6925.46,2,2018,2,6
2/7/18,8099.958333,3,2018,2,7
2/8/18,8240.536667,4,2018,2,8
2/9/18,8245.08,5,2018,2,9
2/10/18,8319.876566,6,2018,2,10
2/11/18,8343.455,7,2018,2,11
2/12/18,8068.02,1,2018,2,12
2/13/18,8597.7675,2,2018,2,13
2/14/18,9334.633333,3,2018,2,14
2/15/18,9471.64,4,2018,2,15
2/16/18,10127.16167,5,2018,2,16
2/17/18,10841.99167,6,2018,2,17
2/18/18,11085.83,7,2018,2,18
2/19/18,11110.965,1,2018,2,19
2/20/18,11390.39167,2,2018,2,20
2/21/18,11245.98,3,2018,2,21
2/22/18,9931.071667,4,2018,2,22
2/23/18,10162.11667,5,2018,2,23
2/24/18,10171.3,6,2018,2,24
2/25/18,9696.593333,7,2018,2,25
2/26/18,10348.60333,1,2018,2,26
2/27/18,10319.46,2,2018,2,27
2/28/18,10370.165,3,2018,2,28
3/1/18,11009.38167,4,2018,3,1
3/2/18,10931.12,5,2018,3,2
3/3/18,11326.94833,6,2018,3,3
3/4/18,11430.18167,7,2018,3,4
3/5/18,11516.83,1,2018,3,5
3/6/18,10763.19833,2,2018,3,6
3/7/18,10118.058,3,2018,3,7
3/8/18,9920.46,4,2018,3,8
3/9/18,9089.278333,5,2018,3,9
3/10/18,8746.002,6,2018,3,10
3/11/18,8777.37,7,2018,3,11
3/12/18,9182.843333,1,2018,3,12
3/13/18,9154.7,2,2018,3,13
3/14/18,9153.54,3,2018,3,14
3/15/18,8358.121667,4,2018,3,15
3/16/18,8530.402,5,2018,3,16
3/17/18,8297.89,6,2018,3,17
3/18/18,8171.415,7,2018,3,18
3/19/18,8412.033333,1,2018,3,19
3/20/18,8605.64,2,2018,3,20
3/21/18,8947.753333,3,2018,3,21
3/22/18,8690.408333,4,2018,3,22
3/23/18,8725.37,5,2018,3,23
3/24/18,8662.378333,6,2018,3,24
3/25/18,8617.296667,7,2018,3,25
3/26/18,8457.96,1,2018,3,26
3/27/18,7876.195,2,2018,3,27
3/28/18,7960.38,3,2018,3,28
3/29/18,7950.61,4,2018,3,29
3/30/18,6882.531667,5,2018,3,30
3/31/18,6935.48,6,2018,3,31
4/1/18,6937.56,7,2018,4,1
4/2/18,7035.848333,1,2018,4,2
4/3/18,7410.435,2,2018,4,3
4/4/18,7426.48,3,2018,4,4
4/5/18,6826.51,4,2018,4,5
4/6/18,6603.876667,5,2018,4,6
4/7/18,6634.68,6,2018,4,7
4/8/18,7017.656667,7,2018,4,8
4/9/18,6699.273333,1,2018,4,9
4/10/18,6784.41,2,2018,4,10
4/11/18,6926.266667,3,2018,4,11
4/12/18,7847.845,4,2018,4,12
4/13/18,7941.46,5,2018,4,13
4/14/18,8036.511051,6,2018,4,14
4/15/18,8340.748333,7,2018,4,15
4/16/18,8368.1,1,2018,4,16
4/17/18,7895.416926,2,2018,4,17
4/18/18,8164.937426,3,2018,4,18
4/19/18,8175.96,4,2018,4,19
4/20/18,8852.718333,5,2018,4,20
4/21/18,8807.205,6,2018,4,21
4/22/18,8930.6,7,2018,4,22
4/23/18,8933.861667,1,2018,4,23
4/24/18,9555.542,2,2018,4,24
4/25/18,9658.11,3,2018,4,25
4/26/18,9258.398333,4,2018,4,26
4/27/18,9010.32,5,2018,4,27
4/28/18,8928.55,6,2018,4,28
